Name,0.2,0.25,0.3,0.35,0.4,0.45,0.5,MinSolv_1,MinSolv_2,Hbonds,ExpperMGS
4-Methoxyphenyl ß-D-galactopyranoside,0.006627151,0.017478382,0.080797963,0.141365595,0.190172875,0.23645049,0.279889835,0.012112623,0.229863411,0.031050156,78.3
4-Methoxyphenyl ß-D-glucopyranoside,0.005803331,0.016938498,0.078495332,0.137489405,0.185898731,0.231458534,0.277254563,0.011884135,0.223835058,0.030401887,23.3
4-Methoxyphenyl α-D-galactopyranoside,0.007302765,0.0173313,0.079159098,0.138697873,0.187337875,0.231358416,0.276567163,0.012397552,0.221134569,0.030087879,76.4
4-Methoxyphenyl α-D-glucopyranoside,0.006243347,0.015850872,0.079331285,0.139852485,0.187918868,0.232593312,0.278291479,0.010828282,0.222235768,0.027193132,63.2
4-Bromophenyl ß-D-glucopyranoside,0.009845105,0.021837974,0.074806731,0.133233818,0.184019271,0.227873039,0.273782375,0.015030343,0.21644307,0.025607831,10
4-Chlorophenyl β-D-glucopyranoside,0.00858623,0.021423029,0.078570564,0.136056819,0.186262231,0.230032487,0.2761171,0.014201111,0.213145472,0.025969635,14.1
4-Fluorophenyl ß-D-glucopyranoside,0.007112637,0.018100653,0.072206247,0.132821121,0.183090877,0.225280618,0.271071096,0.01219552,0.219548371,0.027587309,23.3
4-Hydroxyphenyl ß-D-glucopyranoside,0.009675018,0.020409094,0.073763302,0.129876475,0.180330635,0.226623471,0.272635961,0.01650665,0.219964634,0.033822114,61.8
4-Methylphenyl ß-D-glucopyranoside,0.006677949,0.017006217,0.08097904,0.144419441,0.192585263,0.23476083,0.279345671,0.012088206,0.228450529,0.028194977,62.3
Phenyl ß-D-glucopyranoside,0.007532603,0.017709509,0.07499666,0.136195944,0.185713697,0.22792456,0.272733787,0.013125006,0.22095967,0.025900106,64.4
4-(Methoxycarbonyl)phenyl ß-D-glucopyranoside,0.005101228,0.014205635,0.07621275,0.137006762,0.185099077,0.230546221,0.27464651,0.009944521,0.219204303,0.026903779,49.1
4-Trifluoromethylphenyl ß-D-glucopyranoside,0.007171341,0.015115902,0.066960456,0.127294773,0.175653359,0.219504665,0.262938638,0.011682584,0.213566568,0.023951382,33.2
4-Nitrophenyl ß-D-glucopyranoside,0.006796824,0.015106328,0.066686964,0.128884683,0.177748806,0.218908801,0.260697931,0.011409489,0.21739779,0.025721106,60.9
4-Bromophenyl ß-D-galactopyranoside,0.010159407,0.022985141,0.077096408,0.13391395,0.184380753,0.225994371,0.271689807,0.01606508,0.215307496,0.025860306,6.2
4-Chlorophenyl ß-D-galactopyranoside,0.009282964,0.022810717,0.078557264,0.136641261,0.186267723,0.228343029,0.273064657,0.015181356,0.218896541,0.026027675,21.1
4-Fluorophenyl β-D-galactopyranoside,0.007358431,0.018295752,0.07405644,0.133991873,0.182037526,0.220952425,0.265264539,0.012052447,0.215181331,0.026857441,79.7
4-Hydroxyphenyl ß-D-galactopyranoside,0.009670667,0.021044452,0.074694932,0.130683194,0.178980396,0.224728065,0.27047881,0.016759284,0.222735015,0.032154377,81.1
4-Methylphenyl β-D-galactopyranoside,0.006925337,0.01810691,0.080308774,0.140303412,0.191275185,0.234827673,0.281450459,0.012904885,0.227988592,0.028514859,88.3
Phenyl β-D-galactopyranoside,0.007403853,0.016876474,0.074396246,0.131119885,0.182794243,0.226343859,0.269940004,0.012647512,0.224141592,0.027364171,79.1
Methyl 4-(β-D-galactopyranosyloxy)benzoate,0.005567918,0.015826075,0.0750313,0.13529807,0.185822076,0.228904785,0.273796548,0.01117334,0.222199249,0.02960124,29.9
4-Acetamidophenyl β-D-galactopyranoside,0.007476368,0.019347563,0.079939316,0.138721681,0.188053975,0.232046668,0.274520089,0.014339091,0.225150613,0.032490509,81.9
4-(Trifluoromethyl)phenyl β-D-galactopyranoside,0.005861632,0.015080113,0.06827657,0.129419841,0.176403242,0.217292827,0.259337316,0.010990238,0.215443287,0.023216718,57.9
4-Nitrophenyl β-D-galactopyranoside,0.006591451,0.015014728,0.065520261,0.128752273,0.177587265,0.218391059,0.260195673,0.011955787,0.208139331,0.026856307,45.6
3-Methylphenyl ß-D-glucopyranoside,0.005990468,0.016701707,0.080691069,0.141527631,0.190448417,0.231905919,0.276972521,0.011940755,0.220952621,0.026228267,79.1
3-Methoxyphenyl ß-D-glucopyranoside,0.006122705,0.016193069,0.077977471,0.136637263,0.186052677,0.230729283,0.273904604,0.011137659,0.22413265,0.029383059,80.7
3-Hydroxyphenyl ß-D-glucopyranoside,0.010391913,0.020283275,0.072564879,0.130873689,0.182730158,0.228187393,0.273006873,0.016588764,0.225980148,0.03216323,90.1
3-Bromophenyl β-D-galactopyranoside,0.00927703,0.022767066,0.076605298,0.133695119,0.182342767,0.225202712,0.271632069,0.016446258,0.213942255,0.025643579,35.9
3-Acetamidophenyl ß-D-galactopyranoside,0.006425742,0.018634244,0.077658717,0.138074957,0.18678128,0.228262745,0.272439032,0.01318436,0.218126003,0.031565065,72.1
4-Trifluoromethoxyphenyl ß-D-glucopyranoside,0.006969299,0.014687956,0.063925276,0.127115613,0.177969667,0.217712779,0.257414964,0.011590793,0.215887765,0.023595568,57.4
Phenyl alpha-D-glucopyranoside,0.007185922,0.015870289,0.075849159,0.138148258,0.188552051,0.232240791,0.276074126,0.012386564,0.225099114,0.02751343,69.7
4-Fluorophenyl alpha-D-glucopyranoside,0.007968155,0.018778728,0.073651818,0.134770652,0.185075322,0.229097693,0.273149931,0.012359316,0.222380756,0.027046323,80.7
4-Bromophenyl alpha-D-glucopyranoside,0.008431145,0.021363114,0.076570217,0.135467664,0.185856297,0.230328236,0.275053832,0.013334019,0.219871949,0.024845364,75.4
4-Ethoxyphenyl β-D-glucopyranoside,0.005815481,0.015741919,0.080999608,0.140152834,0.189152238,0.230711585,0.276039783,0.010777613,0.21937721,0.028181712,31.8
4-Propoxyphenyl β-D-glucopyranoside,0.005398498,0.01553664,0.080131684,0.139228858,0.189508775,0.229952037,0.271105835,0.009683505,0.219708824,0.026472402,39.7
2-Methoxyphenyl β-D-glucopyranoside,0.006040266,0.015988791,0.08057945,0.138305494,0.187577591,0.23096517,0.276800009,0.011448736,0.224846884,0.030473475,54.4
4-Trifluoromethoxyphenyl ß-D-galactopyranoside,0.006407723,0.014421736,0.064431628,0.124919766,0.173220988,0.213847789,0.253235612,0.011103953,0.211760318,0.022844775,72.3
2-Acetamidophenyl β-D-galactopyranoside,0.006317055,0.017577272,0.076888994,0.133291749,0.182004617,0.226309006,0.269208588,0.012599802,0.219334457,0.03050196,27.1
Ethyl 4-(β-D-galactopyranosyloxy)benzoate,0.005314959,0.014700963,0.078370371,0.138226449,0.187092059,0.229293891,0.273510294,0.009835337,0.223494688,0.026984094,76.3
Isopropyl 4-(ß-D-glucopyranosyloxy)benzoate,0.00483225,0.014039024,0.07698854,0.138503059,0.185417537,0.224079481,0.264992776,0.008750378,0.214351382,0.025073494,35.1
Ethyl 4-(β-D-glucopyranosyloxy)benzoate,0.004871162,0.014236954,0.076130284,0.137161228,0.186759149,0.227326365,0.272528335,0.00964079,0.21726968,0.027398322,5.8
4-Pentanamidophenyl β-D-glucopyranoside,0.005855925,0.015851678,0.080638889,0.137092949,0.180937897,0.221744251,0.263171378,0.010976236,0.212699163,0.027745846,17.8
Methyl 3-(β-D-galactopyranosyloxy)benzoate,0.005757968,0.015331423,0.076407182,0.133823945,0.185625064,0.228111466,0.272053178,0.010782983,0.216591961,0.028207784,56.9
4-Methoxyphenyl ß-D-xylopyranoside,0.005533743,0.015500374,0.081890235,0.143188256,0.195664969,0.241249611,0.289760339,0.009879523,0.233918514,0.027709905,47.1
4-Methoxyphenyl ß-D-mannopyranoside,0.005759438,0.016892672,0.079659956,0.139269651,0.189277503,0.232888488,0.277173601,0.011442948,0.222033677,0.029518957,77.7
4-Methoxyphenyl α-D-Mannopyranoside,0.005566063,0.015289032,0.079058037,0.141134017,0.190161479,0.230419641,0.275987608,0.011335238,0.220502723,0.027096942,73.8
4-(β-D-Glucopyranosyloxy)-benzoic acid,0.009127221,0.018643987,0.069308588,0.125812119,0.174459869,0.219388889,0.261895736,0.015118503,0.216843348,0.031181301,73.3
4-(β-D-Galactopyranosyloxy)-benzoic acid,0.008608197,0.019094094,0.069665174,0.124651525,0.173647716,0.216931306,0.261895014,0.015104086,0.210394892,0.031700171,82.5
Benzyl β-D-Glucopyranoside,0.007994088,0.018042154,0.075138196,0.13436393,0.184612488,0.226279806,0.268320079,0.012834947,0.220086791,0.025138765,71.9
N-Phenyl ß-D-glucopyranoside,0.006768793,0.020667069,0.080279424,0.141806578,0.191778081,0.237021061,0.28200422,0.014499963,0.225906244,0.028783825,55.3
S-Phenyl-1-thio-β-D-glucopyranoside,0.006084491,0.016909071,0.073770859,0.134828636,0.184619503,0.226679103,0.271539657,0.011539421,0.224650301,0.027221665,55.3
4-Methoxybenzyl ß-D-glucopyranoside,0.00529247,0.015547719,0.079815503,0.140885273,0.188081876,0.229245115,0.273999244,0.010510197,0.223620625,0.028390706,69.1
N-(4-Methoxyphenyl)-1-ß-D-glucopyranoside,0.007079511,0.015369113,0.072370396,0.132027511,0.181012489,0.22400799,0.265393157,0.01153762,0.217436782,0.027806498,62.1
4-Methoxyphenyl-1-thio-ß-D-glucopyranoside,0.007463355,0.014813431,0.071178278,0.130701004,0.178575773,0.218572164,0.262478917,0.011536608,0.216895681,0.027267592,80
"1,4-Bis-(ß-D-glucopyranosyl)benzene",0.008555831,0.021113312,0.077926207,0.125333593,0.168883333,0.207707399,0.250193005,0.016367822,0.202477987,0.035922012,34.1
"1,4-Bis-(ß-D-galactopyranosyl)benzene",0.009845894,0.022415206,0.078396197,0.125330657,0.167979623,0.208185147,0.249156039,0.017392436,0.198569157,0.037453562,79.2
1-O-(ß-D-Glucopyranosyl)-4-O-(ß-D-galactopyranosyl)benzene,0.00968834,0.021908101,0.077888267,0.125119272,0.167968659,0.207518717,0.249486643,0.01693157,0.198739392,0.036851032,58
"1,3-Bis-(ß-D-glucopyranosyl)benzene",0.009476878,0.021449953,0.078002019,0.125476082,0.167892566,0.207508321,0.249556433,0.017080594,0.197804421,0.036712893,61
(4-Pyridinyl) β-D-glucopyranoside,0.008267012,0.01873979,0.078166862,0.133693931,0.18130088,0.228361397,0.275743585,0.013078245,0.216405779,0.032898263,51.6
4-Methoxyphenyl-6-O-(α-D-galactopyranosyl) β-D-glucopyranoside,0.008205987,0.017550007,0.068686137,0.114195183,0.152729136,0.186443979,0.220795138,0.013806651,0.181516345,0.031154137,66.1
4-Methoxyphenyl-6-O-(α-D-glucopyranosyl) ß-D-glucopyranoside,0.007928869,0.016429621,0.070484798,0.117896648,0.157067194,0.190478873,0.22595096,0.012684241,0.185699792,0.02888775,66.8
4-Methoxyphenyl-6-O-(ß-D-glucopyranosyl) ß-D-glucopyranoside,0.007896691,0.017779702,0.071039113,0.117821886,0.157047902,0.193043787,0.229531975,0.013495136,0.188037614,0.032306068,61.6
4-Methoxyphenyl-4-O-(ß-D-galactopyranosyl) ß-D-glucopyranoside,0.008382841,0.018235719,0.069862931,0.117193694,0.157641405,0.19311666,0.228768095,0.014083497,0.188111285,0.031006378,44.5
2-Amino β-D-galactopyranoside,0.008282624,0.022381,0.079280353,0.137607302,0.188470024,0.233775169,0.281219671,0.015852814,0.22733393,0.034386499,83.9
2-Amino-3-(β-D-galactopyranosyloxy)-benzoic acid,0.008086541,0.022163342,0.075663328,0.130054637,0.177908406,0.221939922,0.26611988,0.016322152,0.215837851,0.034661681,40.5
2-Amino-3-(β-D-glucopyranosyloxy)-benzoic acid,0.008092767,0.019527276,0.073352831,0.130073266,0.17820601,0.220030852,0.262947012,0.014766084,0.214144922,0.03354202,88.6
4-Aminophenyl β-D-glucopyranoside,0.007454073,0.02312397,0.081566376,0.13765496,0.187760564,0.233470863,0.282272955,0.016295469,0.21779965,0.036403123,88.8
4-Acetamidophenyl β-D-glucopyranoside,0.006541756,0.01842231,0.079009813,0.135613678,0.184201525,0.226657109,0.272815836,0.01224539,0.22047913,0.030965776,70.2
"N-(2,2,3,3,4,4,4-Heptafluoro)butyl-D-gluconamide",0.007344746,0.01817907,0.066570638,0.129604827,0.176183158,0.215408781,0.255298155,0.014943184,0.205120836,0.027921319,32.8
N-Phenyl-D-gluconamide,0.00833352,0.021968442,0.078105577,0.140671494,0.191469057,0.236684195,0.283219587,0.016547513,0.229620756,0.03296857,65.7
N-3-Fluorophenyl-D-gluconamide,0.008246304,0.022650509,0.074845792,0.134728733,0.187238371,0.231625522,0.276857914,0.01585178,0.225465444,0.032348017,9.4
N-4-Fluorophenyl-D-gluconamide,0.00716797,0.021346651,0.078336904,0.13892304,0.190565811,0.234121623,0.27786137,0.01502107,0.222839105,0.030647773,90.3
N-Benzyl-D-gluconamide,0.005885284,0.018855867,0.077305976,0.138405053,0.186670578,0.227844283,0.271516771,0.012849734,0.21733685,0.027971839,38.1
N-2-Fluorobenzyl-D-gluconamide,0.006295292,0.019301397,0.078952205,0.138221268,0.185615578,0.226405982,0.270782477,0.013381955,0.215883368,0.028083529,35.4
N-3-Fluorobenzyl-D-gluconamide,0.008627669,0.021813365,0.075613978,0.132548068,0.180222087,0.220643181,0.263787842,0.015293519,0.214688316,0.030513722,30.7
N-4-Fluorobenzyl-D-gluconamide,0.00689453,0.0204253,0.07492644,0.135383484,0.184267671,0.22511641,0.268161736,0.012998165,0.214641426,0.02837408,19.7
N-2-Phenylethyl-D-gluconamide,0.006613594,0.017564472,0.076122297,0.130485356,0.17548479,0.21437216,0.253412063,0.012830687,0.20458376,0.02909507,29.7
N-2-(2-Fluoro)phenylethyl-D-gluconamide,0.006203126,0.018323393,0.075610004,0.136087444,0.181675761,0.219037128,0.261366839,0.012760203,0.209607949,0.028037085,20.6
N-2-(3-Fluoro)phenylethyl-D-gluconamide,0.006626892,0.019768774,0.079297558,0.139296827,0.186881365,0.227664984,0.269400495,0.01296761,0.217210292,0.027884164,30.2
N-2-(4-Fluoro)phenylethyl-D-gluconamide,0.005747376,0.017482801,0.074024713,0.132176867,0.177830923,0.215847811,0.256367663,0.010883881,0.202797023,0.026134024,69
"N-2,5-Difluorobenzyl-D-gluconamide",0.007161618,0.021038844,0.072639239,0.134618774,0.181840599,0.220975542,0.262914264,0.014616911,0.211192208,0.03034281,9.7
N-4-Bromophenyl-D-gluconamide,0.008176384,0.024330986,0.080230295,0.13974335,0.191808251,0.233814394,0.284582141,0.014524525,0.22264013,0.028363034,75
N-2-Fluorophenyl-D-gluconamide,0.008038501,0.022307353,0.075218386,0.133961195,0.184286699,0.229677374,0.273328002,0.016157871,0.218700086,0.032203009,3
"N-3,5-Difluorophenyl-D-gluconamide",0.007787489,0.020705078,0.073350037,0.135004076,0.186313612,0.228291766,0.273186369,0.014309799,0.222560606,0.029797764,4.4
N-3-Bromophenyl-D-gluconamide,0.010483648,0.025944231,0.078485292,0.135347766,0.186365448,0.230886607,0.278564453,0.019523065,0.21948975,0.031906193,40
"N-2,6-Difluorobenzyl-D-gluconamide",0.007422476,0.01964747,0.076900244,0.135372076,0.179886324,0.21970424,0.264160161,0.01403265,0.209253567,0.028397006,12.6
N-4-Methoxyphenyl-D-gluconamide,0.007499787,0.020266066,0.080077167,0.136213223,0.188073495,0.231921639,0.275876372,0.014810808,0.22553426,0.033487958,3.9
N-4-Methoxybenzyl-D-gluconamide,0.006492728,0.018641254,0.079260652,0.135002148,0.179969129,0.222183348,0.263284116,0.013159615,0.215582364,0.030553959,6.5
N-4-Methylbenzyl-D-gluconamide,0.007505135,0.019270973,0.075721587,0.133539148,0.180819094,0.220632545,0.262813623,0.014000024,0.211394029,0.029916423,5
N-2-Methoxybenzyl-D-gluconamide,0.006775614,0.018375551,0.078450441,0.135322588,0.18065965,0.221602258,0.263865057,0.012994414,0.211296753,0.029968791,72.8
N-2-Methoxyphenyl-D-gluconamide,0.007167018,0.019527711,0.078170125,0.133546359,0.180630902,0.221524777,0.265858717,0.014328485,0.215396387,0.03181877,100
2-Phenylhydrazide-D-gluconic acid,0.00897905,0.022490384,0.078959291,0.135104471,0.185087379,0.229933008,0.274169471,0.01667114,0.223566242,0.034121757,81.1
2-(2-Fluoro)phenylhydrazide-D-gluconic acid,0.010358448,0.023398171,0.078920319,0.139034466,0.189753867,0.233033103,0.278451305,0.017699708,0.227071106,0.036778535,68.7
N-1-Naphthyl-D-gluconamide,0.007849147,0.0174413,0.071936588,0.132646928,0.178179397,0.217185421,0.257795333,0.013047602,0.211081271,0.025466065,103.8
1-Deoxy-1-[(2-fluorophenylmethyl)amino]-D-glucitol,0.00584176,0.018206326,0.076439855,0.13657878,0.184829139,0.223334725,0.267915925,0.011532915,0.213361213,0.027012228,30.5
"1,4-Bis-(D-gluconamide)benzene",0.009616055,0.023780558,0.077540448,0.12463792,0.166337507,0.206051114,0.246806906,0.019605959,0.196382106,0.037873908,66.7
N-octyl-D-galactonamide ,0.005673685,0.017935928,0.086333646,0.146904005,0.189137724,0.225276699,0.267513215,0.011706513,0.21255678,0.024297393,72.2
N-Octanoyl-N-methyl-D-glucamine,0.004755077,0.016059973,0.087539274,0.143692103,0.186068687,0.224366844,0.263895605,0.0088928,0.210005124,0.023964903,66.3
N-Methyl-N-octyl-D-gluconamide,0.005672714,0.015695098,0.080947832,0.135192587,0.176362597,0.210683652,0.250063913,0.010761483,0.198625856,0.02473111,71.9
1-O-Octyl-D-glucitol,0.005611044,0.01634048,0.082490167,0.141042627,0.181602226,0.219822869,0.259916244,0.010925052,0.206376516,0.02397711,59.8
N-Octyl-L-Mannonamide,0.006579566,0.018277451,0.088107248,0.148701405,0.191193866,0.228273965,0.272393983,0.012445332,0.211690986,0.025900647,22
N-Octyl-D-gluconamide,0.005219365,0.017031933,0.088036658,0.148505368,0.191866278,0.2273992,0.269914601,0.009658873,0.214381862,0.024307488,72.4
